"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1232817942946959360","https://twitter.com/ogato_desuyo/status/1232817942946959360","@Naga_3003 めっちゃ嬉Dです！！
ありがとうございます！","2020-02-27 00:01 +0000","68.0","2.0","0.029411764705882353","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232817432999280640","https://twitter.com/ogato_desuyo/status/1232817432999280640","@Naga_3003 ながさんなら！！
準備出来次第DMしますね！","2020-02-26 23:59 +0000","74.0","2.0","0.02702702702702703","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232817321225252864","https://twitter.com/ogato_desuyo/status/1232817321225252864","@hatunemikutrp 了解です！
準備できたらDM行きます！","2020-02-26 23:58 +0000","41.0","2.0","0.04878048780487805","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232817241445388289","https://twitter.com/ogato_desuyo/status/1232817241445388289","@yumiponne_zzz よっしゃ！了解です！
準備できたらDM行きます！","2020-02-26 23:58 +0000","34.0","1.0","0.029411764705882353","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232716969993854976","https://twitter.com/ogato_desuyo/status/1232716969993854976","ツイッター分析して欲しい人いたらリプください先着3名さん無料で分析します〜","2020-02-26 17:20 +0000","1163.0","34.0","0.029234737747205503","0.0","4.0","6.0","20.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232695039219748864","https://twitter.com/ogato_desuyo/status/1232695039219748864","eスポーツだったりSUNABACOの機材を見せびら…んんっ、紹介する上でもパクチーのルームはよさそう","2020-02-26 15:52 +0000","870.0","8.0","0.009195402298850575","2.0","0.0","3.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232691374933205003","https://twitter.com/ogato_desuyo/status/1232691374933205003","なんでカンパくんはそんなに雑学というかずっと喋っていられるの？🤔","2020-02-26 15:38 +0000","847.0","35.0","0.04132231404958678","1.0","0.0","10.0","8.0","0.0","0.0","16.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232690105510318080","https://twitter.com/ogato_desuyo/status/1232690105510318080","待って俺www https://t.co/5st6GtANP8","2020-02-26 15:33 +0000","986.0","19.0","0.019269776876267748","0.0","1.0","12.0","3.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232687080855105538","https://twitter.com/ogato_desuyo/status/1232687080855105538","当たるまではひたすら試してみるのも大切","2020-02-26 15:21 +0000","479.0","3.0","0.006263048016701462","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232686539135578112","https://twitter.com/ogato_desuyo/status/1232686539135578112","スタジオパクチー配信中！
Splatoon2などの実況プレイをライブ用の音響・照明演出と共に沖縄のゲームスタジオからお届けします！
（Produced by hanahana eSports）
https://t.co/WiwkEtESyg","2020-02-26 15:19 +0000","452.0","14.0","0.030973451327433628","0.0","0.0","3.0","0.0","10.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232686356393910272","https://twitter.com/ogato_desuyo/status/1232686356393910272","SUNABACO旧社宅組
｢そろそろ外部層にしっかりリーチできる手法が欲しい｣

ワイ｢動画上げてみた｣

コイアイちゃん｢ラジオやろう｣

カンパくん｢配信してみる｣

この早さよw","2020-02-26 15:18 +0000","571.0","12.0","0.021015761821366025","0.0","0.0","5.0","3.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232660853322682369","https://twitter.com/ogato_desuyo/status/1232660853322682369","@kentaro_jp おっしゃ！！
あざます！！","2020-02-26 13:37 +0000","124.0","1.0","0.008064516129032258","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232658710704484352","https://twitter.com/ogato_desuyo/status/1232658710704484352","@DrawingMim 横に成長…","2020-02-26 13:28 +0000","133.0","1.0","0.007518796992481203","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232654494103506946","https://twitter.com/ogato_desuyo/status/1232654494103506946","そこには触れないでください！！！ https://t.co/Af5xKOvApT","2020-02-26 13:11 +0000","914.0","11.0","0.012035010940919038","0.0","0.0","6.0","5.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232652824971894784","https://twitter.com/ogato_desuyo/status/1232652824971894784","SUNABACOスタッフは各々が講師であると同時にそれぞれの分野のプロフェッショナルであるという思想を持っていますので！！！ https://t.co/EdsWFgKSCC","2020-02-26 13:05 +0000","1399.0","17.0","0.012151536812008578","1.0","0.0","8.0","1.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232645556633161730","https://twitter.com/ogato_desuyo/status/1232645556633161730","@ssssssigma マジでそれっすよね","2020-02-26 12:36 +0000","135.0","2.0","0.014814814814814815","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232644496166273025","https://twitter.com/ogato_desuyo/status/1232644496166273025","労働者側が｢ここの会社は給料が少ない｣って言って辞めるように経営者側も｢こいつ全然売上出してくれない｣って切る事だって普通なんだよな

酷いって思うかもしれないけどこれは当たり前のこと

給料というメリットを享受する以上トータル的に見てメリットを与えなければいけないんだよな","2020-02-26 12:32 +0000","1419.0","47.0","0.03312191684284708","2.0","0.0","21.0","8.0","0.0","0.0","16.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232624767439527936","https://twitter.com/ogato_desuyo/status/1232624767439527936","身近なことに疑問をもつ、不快感に気付くってすごく大事なのよね
いつも通りの生活からは何も生まれない","2020-02-26 11:13 +0000","757.0","21.0","0.02774108322324967","0.0","0.0","13.0","0.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232621057535725568","https://twitter.com/ogato_desuyo/status/1232621057535725568","Adobe凄いんです！！！ https://t.co/htU5oBWuQV","2020-02-26 10:58 +0000","796.0","1.0","0.001256281407035176","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232614996237926400","https://twitter.com/ogato_desuyo/status/1232614996237926400","これを見てデザインの勉強をしてみたいと思った方は是非来月から始まるSUNABACOデザインコースへ！！

1ヶ月で4万円というデザインスクールとして破格の値段です！

本コースは沖縄、香川、北海道の3校での開催となります！お申し込みはこちらから！！！

https://t.co/iqzf6FjFs6","2020-02-26 10:34 +0000","1214.0","39.0","0.03212520593080725","5.0","1.0","20.0","0.0","10.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232613239663411200","https://twitter.com/ogato_desuyo/status/1232613239663411200","おがと。のUI講座をチラ見せ！！

全人類見てくれ
そうすればこの世から使い勝手の悪いデザインが消えるはず

#SUNABACO https://t.co/RpaofSUr95","2020-02-26 10:27 +0000","5097.0","467.0","0.09162252305277614","26.0","2.0","66.0","36.0","3.0","3.0","48.0","0.0","0","0","0","0","0","1571","283","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232589058410303488","https://twitter.com/ogato_desuyo/status/1232589058410303488","すげー！！！
スクール通いながらとか早すぎるw
頑張れ！！分かんないとこあったらいつでもSUNABACOへ！ https://t.co/BIhhnmDWnn","2020-02-26 08:51 +0000","1795.0","24.0","0.013370473537604457","2.0","1.0","19.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232588556436000769","https://twitter.com/ogato_desuyo/status/1232588556436000769","Rush神か！！！
編集途中に電源落ちたやつちゃんと残ってた！！！
作りながらレンダリングの準備を始めているという噂は本当であったか！","2020-02-26 08:49 +0000","787.0","13.0","0.016518424396442185","0.0","0.0","8.0","2.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232588023331618816","https://twitter.com/ogato_desuyo/status/1232588023331618816","@Baonotwell 2世代i5とか今売れるんですかね…","2020-02-26 08:47 +0000","127.0","1.0","0.007874015748031496","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232586843121520640","https://twitter.com/ogato_desuyo/status/1232586843121520640","@hatunemikutrp 一気に価格変わりますからね〜","2020-02-26 08:42 +0000","113.0","3.0","0.02654867256637168","0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232550408637206528","https://twitter.com/ogato_desuyo/status/1232550408637206528","知識は知っていても実行することは難しいしましてやそれを常日頃当たり前に行うのなんて普通はできない
スタッフがそれぞれのプロなようにリーダーのプロでもあるんだろうなあ","2020-02-26 06:18 +0000","1354.0","26.0","0.019202363367799114","2.0","0.0","14.0","9.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232549998958534656","https://twitter.com/ogato_desuyo/status/1232549998958534656","大学の時にリーダーシップ論というのを学んでいて、そこら辺をよく資料読み込んだりして勉強していたんですけど中村さんを見ているとそれをここまで実行できている人がいるのかと驚かされる","2020-02-26 06:16 +0000","2191.0","56.0","0.025559105431309903","3.0","0.0","23.0","22.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1232523704992579585","https://twitter.com/ogato_desuyo/status/1232523704992579585","@kainanaika それはそれはよかったです！！
web概要楽しいですよね！","2020-02-26 04:32 +0000","164.0","5.0","0.03048780487804878","0.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
