"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1223246034777698305","https://twitter.com/ogato_desuyo/status/1223246034777698305","@yutarodaxia んなわけw
｢彼女とデートなうに使っていいよ｣ってやつです","2020-01-31 14:05 +0000","251.0","9.0","0.035856573705179286","0.0","0.0","0.0","1.0","0.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223243838321377281","https://twitter.com/ogato_desuyo/status/1223243838321377281","@yutarodaxia 彼女欲しい…","2020-01-31 13:57 +0000","299.0","2.0","0.006688963210702341","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223243536084004864","https://twitter.com/ogato_desuyo/status/1223243536084004864","@majimajico55 楽しかったんですか！？笑","2020-01-31 13:56 +0000","118.0","8.0","0.06779661016949153","0.0","1.0","2.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223238827629629440","https://twitter.com/ogato_desuyo/status/1223238827629629440","@coro422 ひなぺち
グラビアだよ笑","2020-01-31 13:37 +0000","110.0","2.0","0.01818181818181818","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223238726442086400","https://twitter.com/ogato_desuyo/status/1223238726442086400","カンパネルラ、あいつコイアイちゃんとイチャイチャしやがって許さねえからな","2020-01-31 13:36 +0000","741.0","28.0","0.037786774628879895","0.0","0.0","11.0","5.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223237930010853377","https://twitter.com/ogato_desuyo/status/1223237930010853377","彼女なんていねえよむしろ寄越せ","2020-01-31 13:33 +0000","947.0","25.0","0.026399155227032733","1.0","0.0","7.0","13.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223237771365511168","https://twitter.com/ogato_desuyo/status/1223237771365511168","@RyumaSuzuki マジですか！！
土日とか週末にでも！！😂😂😂","2020-01-31 13:33 +0000","120.0","3.0","0.025","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223237572207362048","https://twitter.com/ogato_desuyo/status/1223237572207362048","今日は1月31日、愛妻の日です

①まずは愛する妻を用意します

　　　　　　　　　終
　　　　　　　制作・著作
　　　　　　　━━━━━
　　　　　　　　ⓃⒽⓀ","2020-01-31 13:32 +0000","1955.0","66.0","0.03375959079283888","4.0","2.0","34.0","10.0","0.0","0.0","16.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223237268657209347","https://twitter.com/ogato_desuyo/status/1223237268657209347","@CuriousSafuta @FlaxLounge うおおおおお
いいっすねえ北海道来たからには絶対に行こうと思ってたんですよね","2020-01-31 13:31 +0000","204.0","19.0","0.09313725490196079","0.0","1.0","6.0","5.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223236406929022981","https://twitter.com/ogato_desuyo/status/1223236406929022981","つええwww https://t.co/d8V5srb7sW","2020-01-31 13:27 +0000","1064.0","9.0","0.008458646616541353","0.0","1.0","6.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223235704030785536","https://twitter.com/ogato_desuyo/status/1223235704030785536","@coro422 彼女とデートなうに使っていいって言ってたからさっきから彼女","2020-01-31 13:24 +0000","86.0","2.0","0.023255813953488372","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223234718495150081","https://twitter.com/ogato_desuyo/status/1223234718495150081","今週のスクールも終わり時間が取れたので彼女とデートなう https://t.co/VbjEYv8wXE","2020-01-31 13:20 +0000","3879.0","848.0","0.21861304459912348","0.0","1.0","27.0","84.0","7.0","0.0","52.0","0.0","0","0","0","0","0","677","677","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223233204200431616","https://twitter.com/ogato_desuyo/status/1223233204200431616","江別組みんな可愛くないか？？？","2020-01-31 13:14 +0000","1930.0","95.0","0.04922279792746114","1.0","0.0","20.0","39.0","0.0","0.0","35.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223220459325411328","https://twitter.com/ogato_desuyo/status/1223220459325411328","生ずきこ氏を観測して｢本当に実在したんだ…｣と驚いた","2020-01-31 12:24 +0000","1376.0","67.0","0.04869186046511628","2.0","0.0","23.0","10.0","0.0","0.0","32.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223179306219655168","https://twitter.com/ogato_desuyo/status/1223179306219655168","菊池さんからガラナいただきました！！！
これが本場らしい！ https://t.co/lJTHD5Yxnr","2020-01-31 09:40 +0000","1487.0","95.0","0.06388702084734364","1.0","0.0","25.0","3.0","2.0","0.0","0.0","0.0","0","0","0","0","0","64","64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223148227102269440","https://twitter.com/ogato_desuyo/status/1223148227102269440","@CxC2CXMas3QqiZF まずは美味しそうな食べ物をツイートします

　　　　　　　　　終
　　　　　　　制作・著作
　　　　　　　━━━━━
　　　　　　　　ⓃⒽⓀ","2020-01-31 07:37 +0000","64.0","1.0","0.015625","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223147634988158977","https://twitter.com/ogato_desuyo/status/1223147634988158977","世界最高級のコーヒー｢コピルアク｣、1杯2000円とかするけど","2020-01-31 07:34 +0000","904.0","37.0","0.04092920353982301","0.0","1.0","7.0","3.0","0.0","0.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223145266720624641","https://twitter.com/ogato_desuyo/status/1223145266720624641","お、はやしさんいいねしましたね！！！いいねしましたね！！！
これはご飯でも行きましょうフラグですね！！！","2020-01-31 07:25 +0000","1177.0","36.0","0.03058623619371283","0.0","0.0","10.0","17.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1223136835238391810","https://twitter.com/ogato_desuyo/status/1223136835238391810","いててててっ
いてっ、あー見てて痛いイタすぎる
関係ない話題から唐突の学歴マウントマンイタすぎるwww https://t.co/w68oI3QTGp","2020-01-31 06:52 +0000","1171.0","7.0","0.005977796754910333","0.0","0.0","3.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
