"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1200699311798902784","https://twitter.com/ogato_desuyo/status/1200699311798902784","大将のヒーローインタビューです

@EbetsuSunabaco https://t.co/MStXPS9hzL","2019-11-30 08:53 +0000","2610.0","269.0","0.10306513409961686","7.0","1.0","30.0","11.0","1.0","0.0","21.0","0.0","0","0","0","0","0","788","198","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200694406342266885","https://twitter.com/ogato_desuyo/status/1200694406342266885","ウリューヤバいw https://t.co/3Aj9I172ZI","2019-11-30 08:33 +0000","1290.0","113.0","0.08759689922480621","3.0","0.0","8.0","3.0","3.0","0.0","0.0","0.0","0","0","0","0","0","96","96","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200693779000283139","https://twitter.com/ogato_desuyo/status/1200693779000283139","中継がアウェイ過ぎるwww

#SUNABACO","2019-11-30 08:31 +0000","763.0","16.0","0.020969855832241154","1.0","0.0","11.0","1.0","0.0","1.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200690650011725831","https://twitter.com/ogato_desuyo/status/1200690650011725831","ロボ強いwww","2019-11-30 08:18 +0000","701.0","8.0","0.011412268188302425","1.0","0.0","5.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200558980155596800","https://twitter.com/ogato_desuyo/status/1200558980155596800","お！デザイナーの聖地渋谷ハチ公前のスターバックス！！！ https://t.co/FMraBpvKVp","2019-11-29 23:35 +0000","1317.0","6.0","0.004555808656036446","0.0","1.0","1.0","0.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200557641065328640","https://twitter.com/ogato_desuyo/status/1200557641065328640","@illya10032 ネットで培ったセンス！笑","2019-11-29 23:30 +0000","215.0","3.0","0.013953488372093023","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200471644927447040","https://twitter.com/ogato_desuyo/status/1200471644927447040","絶対フォン感って一般的な言葉かと思ってた https://t.co/JjldLkJqQX","2019-11-29 17:48 +0000","5014.0","1296.0","0.258476266453929","2.0","2.0","29.0","119.0","9.0","0.0","29.0","0.0","0","0","0","0","0","1106","1106","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200461275332931584","https://twitter.com/ogato_desuyo/status/1200461275332931584","久々にお腹いっぱいになった
麺400グラム https://t.co/AZC2sUs1sS","2019-11-29 17:07 +0000","1076.0","79.0","0.07342007434944238","1.0","0.0","9.0","6.0","0.0","0.0","5.0","0.0","0","0","0","0","0","58","58","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200396885481021441","https://twitter.com/ogato_desuyo/status/1200396885481021441","@tatsu08311 かっこよき","2019-11-29 12:51 +0000","73.0","1.0","0.0136986301369863","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200385319238955008","https://twitter.com/ogato_desuyo/status/1200385319238955008","@parumenn_irasto 全く関係ないけどPCいいっすね
やはりライトアップPCは正義…","2019-11-29 12:05 +0000","4998.0","38.0","0.007603041216486595","0.0","1.0","1.0","21.0","0.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200373513900576768","https://twitter.com/ogato_desuyo/status/1200373513900576768","@RyumaSuzuki @nakamakoko @sarasaretaro @kirin_1118 ｷｭｲﾝｷｭｲﾝｷｭｲﾝｷｭｲｰﾝ

「「「牙狼剣を押し込め！！！」」」","2019-11-29 11:18 +0000","150.0","7.0","0.04666666666666667","0.0","0.0","4.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200370690702004224","https://twitter.com/ogato_desuyo/status/1200370690702004224","なんでだ…今までずっと動いてたはずなのにエラー出てる…","2019-11-29 11:07 +0000","720.0","8.0","0.011111111111111112","0.0","0.0","6.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200368559471251456","https://twitter.com/ogato_desuyo/status/1200368559471251456","@pkMoRcyFYIiUVHa あ、ミスった申し訳ない🙇","2019-11-29 10:59 +0000","39358.0","156.0","0.003963616037400274","1.0","0.0","44.0","88.0","0.0","0.0","23.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
