"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1212043813994168324","https://twitter.com/ogato_desuyo/status/1212043813994168324","新年初エラーはタイプミスによる構文エラーでした","2019-12-31 16:12 +0000","579.0","7.0","0.012089810017271158","0.0","0.0","6.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212043429137399808","https://twitter.com/ogato_desuyo/status/1212043429137399808","@yoskmr よろしくお願いします🙌🙌🙌","2019-12-31 16:10 +0000","88.0","2.0","0.022727272727272728","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212041659543736321","https://twitter.com/ogato_desuyo/status/1212041659543736321","@tomoro32 ありがとうございます！
ツイ楽しみって言われるのめちゃくちゃ嬉しいです笑
今年もよろしくお願いします！🥰","2019-12-31 16:03 +0000","24.0","2.0","0.08333333333333333","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212035902890893312","https://twitter.com/ogato_desuyo/status/1212035902890893312","Django触ってたら年越した","2019-12-31 15:40 +0000","842.0","17.0","0.020190023752969122","0.0","1.0","15.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212035164680814593","https://twitter.com/ogato_desuyo/status/1212035164680814593","新年初commit！！！","2019-12-31 15:37 +0000","623.0","13.0","0.02086677367576244","0.0","0.0","8.0","4.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212033369095061505","https://twitter.com/ogato_desuyo/status/1212033369095061505","ひねくれているオードリー若林「まあ日付が変わっただけなんですけどね」","2019-12-31 15:30 +0000","905.0","21.0","0.023204419889502764","0.0","0.0","15.0","2.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212032760887463938","https://twitter.com/ogato_desuyo/status/1212032760887463938","@qiwdu 今コード買ったw","2019-12-31 15:28 +0000","153.0","2.0","0.013071895424836602","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212031836127252480","https://twitter.com/ogato_desuyo/status/1212031836127252480","はい、それでは今年も頑張っていきましょう https://t.co/Z2yNmy0Vq5","2019-12-31 15:24 +0000","3087.0","597.0","0.1933916423712342","0.0","1.0","29.0","25.0","8.0","0.0","25.0","0.0","0","0","0","0","0","509","509","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212030246209257472","https://twitter.com/ogato_desuyo/status/1212030246209257472","HNY2020（ハッピーニューイヤー2020年）って書くとグラボ見たい
スペック強そう","2019-12-31 15:18 +0000","603.0","10.0","0.01658374792703151","0.0","0.0","8.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1212029694637420545","https://twitter.com/ogato_desuyo/status/1212029694637420545","@Xg8r7cLmn8ELlKC mkgirlコマンドで彼女が作れればいいのに…","2019-12-31 15:16 +0000","105.0","3.0","0.02857142857142857","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
